subject id,title,description,version,url,cmdline,platform,ID,
,fmriprep,fMRIPrep is a NiPreps (NeuroImaging PREProcessing toolS) application (www.nipreps.org) for the preprocessing of task-based and resting-state functional MRI (fMRI).,23.0.0,,/opt/conda/bin/nibabies /data /out participant --participant-label BB069 --age-months 6 --cifti-output --resource-monitor --stop-on-first-crash --ignore fieldmaps -w /scratch,,RRID:SCR_016216,https://scicrunch.org/resolver/RRID:SCR_016216
,,,,,,Docker?,,
,,,,,,,,
,,,,,,docker pull nipreps/fmriprep:23.0.0,,
,,,,,,,,
,MCFLIRT,,,,,,RRID:SCR_024792,https://scicrunch.org/resolver/RRID:SCR_024792
,FSL,,,,,,RRID:SCR_002823,https://scicrunch.org/resolver/RRID:SCR_002823
